,Date,NIFTY PSU BANK
2567,2018-05-31,2969.0
2568,2018-06-01,2938.35
2569,2018-06-04,2891.7
2570,2018-06-05,2880.65
2571,2018-06-06,2953.5
2572,2018-06-07,2970.1
2573,2018-06-08,3019.35
2574,2018-06-11,3029.25
2575,2018-06-12,3099.9
2576,2018-06-13,3145.7
2577,2018-06-14,3100.35
2578,2018-06-15,3032.75
2579,2018-06-18,3022.05
2580,2018-06-19,2974.65
2581,2018-06-20,2972.7
2582,2018-06-21,2913.35
2583,2018-06-22,2948.3
2584,2018-06-25,2886.75
2585,2018-06-26,2879.0
2586,2018-06-27,2809.1
2587,2018-06-28,2754.45
2588,2018-06-29,2791.5
2589,2018-07-02,2793.45
2590,2018-07-03,2771.8
2591,2018-07-04,2765.9
2592,2018-07-05,2752.0
2593,2018-07-06,2772.25
2594,2018-07-09,2815.3
2595,2018-07-10,2845.95
2596,2018-07-11,2791.7
2597,2018-07-12,2822.95
2598,2018-07-13,2765.15
2599,2018-07-16,2695.4
2600,2018-07-17,2799.4
2601,2018-07-18,2775.85
2602,2018-07-19,2790.05
2603,2018-07-20,2802.35
2604,2018-07-23,2868.7
2605,2018-07-24,2895.95
2606,2018-07-25,2935.85
2607,2018-07-26,3095.9
2608,2018-07-27,3093.7
2609,2018-07-30,3226.7
2610,2018-07-31,3186.25
2611,2018-08-01,3202.75
2612,2018-08-02,3178.9
2613,2018-08-03,3239.0
2614,2018-08-06,3323.6
2615,2018-08-07,3252.35
2616,2018-08-08,3281.3
2617,2018-08-09,3379.2
2618,2018-08-10,3250.85
2619,2018-08-13,3146.05
2620,2018-08-14,3151.85
2621,2018-08-16,3127.45
2622,2018-08-17,3222.05
2623,2018-08-20,3285.2
2624,2018-08-21,3278.35
2625,2018-08-23,3238.2
2626,2018-08-24,3214.6
2627,2018-08-27,3283.9
2628,2018-08-28,3234.0
2629,2018-08-29,3285.95
2630,2018-08-30,3295.2
2631,2018-08-31,3315.5
2632,2018-09-03,3283.55
2633,2018-09-04,3167.05
2634,2018-09-05,3159.95
2635,2018-09-06,3162.7
2636,2018-09-07,3135.95
2637,2018-09-10,3068.15
2638,2018-09-11,3034.15
2639,2018-09-12,3041.65
2640,2018-09-14,3096.2
2641,2018-09-17,3056.1
2642,2018-09-18,2890.0
2643,2018-09-19,2881.4
2644,2018-09-21,2834.15
2645,2018-09-24,2757.1
2646,2018-09-25,2801.75
2647,2018-09-26,2749.2
2648,2018-09-27,2724.05
2649,2018-09-28,2700.45
2650,2018-10-01,2798.6
2651,2018-10-03,2785.7
2652,2018-10-04,2777.8
2653,2018-10-05,2656.0
2654,2018-10-08,2703.5
2655,2018-10-09,2670.15
2656,2018-10-10,2819.2
2657,2018-10-11,2673.85
2658,2018-10-12,2704.1
2659,2018-10-15,2706.55
2660,2018-10-16,2780.3
2661,2018-10-17,2685.4
2662,2018-10-19,2685.95
2663,2018-10-22,2670.7
2664,2018-10-23,2628.85
2665,2018-10-24,2636.9
2666,2018-10-25,2582.25
2667,2018-10-26,2572.85
2668,2018-10-29,2778.4
2669,2018-10-30,2846.95
2670,2018-10-31,2915.85
2671,2018-11-01,2940.95
2672,2018-11-02,2923.15
2673,2018-11-05,3008.25
2674,2018-11-06,2941.25
2675,2018-11-07,2946.2
2676,2018-11-09,2928.45
2677,2018-11-12,2867.7
2678,2018-11-13,2865.45
2679,2018-11-14,2923.85
2680,2018-11-15,2942.65
2681,2018-11-16,3002.3
2682,2018-11-19,2979.8
2683,2018-11-20,2923.6
2684,2018-11-21,2964.2
2685,2018-11-22,2919.85
2686,2018-11-26,2943.85
2687,2018-11-27,2973.65
2688,2018-11-28,2915.15
2689,2018-11-29,2931.45
2690,2018-11-30,2915.2
2691,2018-12-03,2944.15
2692,2018-12-04,2904.8
2693,2018-12-05,2879.65
2694,2018-12-06,2825.95
2695,2018-12-07,2824.7
2696,2018-12-10,2806.55
2697,2018-12-11,2880.8
2698,2018-12-12,2940.8
2699,2018-12-13,2971.0
2700,2018-12-14,2979.65
2701,2018-12-17,2982.3
2702,2018-12-18,3019.8
2703,2018-12-19,3106.25
2704,2018-12-20,3050.3
2705,2018-12-21,3034.45
2706,2018-12-24,3045.7
2707,2018-12-26,3062.15
2708,2018-12-27,3048.75
2709,2018-12-28,3079.9
2710,2018-12-31,3088.0
2711,2019-01-01,3137.2
2712,2019-01-02,3077.5
2713,2019-01-03,3054.15
2714,2019-01-04,3125.1
2715,2019-01-07,3109.1
2716,2019-01-08,3195.3
2717,2019-01-09,3187.4
2718,2019-01-10,3188.85
2719,2019-01-11,3160.0
2720,2019-01-14,3145.25
2721,2019-01-15,3151.1
2722,2019-01-16,3170.0
2723,2019-01-17,3120.4
